id,range,velocity,angle
292,60.0,8437.5,0.0
293,60.0,8437.5,25.0
294,60.0,8437.5,50.0
2100,60.0,9375.0,-50.0
2101,60.0,9375.0,-25.0
2102,60.0,9375.0,0.0
2103,60.0,9375.0,25.0
2104,60.0,9375.0,50.0
2110,60.0,10312.5,-50.0
2111,60.0,10312.5,-25.0
2112,60.0,10312.5,0.0
2113,60.0,10312.5,25.0
2114,60.0,10312.5,50.0
2120,60.0,11250.0,-50.0
2121,60.0,11250.0,-25.0
2122,60.0,11250.0,0.0
2123,60.0,11250.0,25.0
2124,60.0,11250.0,50.0
2130,60.0,12187.5,-50.0
2131,60.0,12187.5,-25.0
2132,60.0,12187.5,0.0
2133,60.0,12187.5,25.0
2134,60.0,12187.5,50.0
2140,60.0,13125.0,-50.0
2141,60.0,13125.0,-25.0
2142,60.0,13125.0,0.0
2143,60.0,13125.0,25.0
2144,60.0,13125.0,50.0
2150,60.0,14062.5,-50.0
2151,60.0,14062.5,-25.0
2152,60.0,14062.5,0.0
2153,60.0,14062.5,25.0
2154,60.0,14062.5,50.0
2160,60.0,15000.0,-50.0
2161,60.0,15000.0,-25.0
2162,60.0,15000.0,0.0
2163,60.0,15000.0,25.0
2164,60.0,15000.0,50.0
300,80.0,0.0,-50.0
301,80.0,0.0,-25.0
302,80.0,0.0,0.0
303,80.0,0.0,25.0
304,80.0,0.0,50.0
310,80.0,937.5,-50.0
311,80.0,937.5,-25.0
312,80.0,937.5,0.0
313,80.0,937.5,25.0
314,80.0,937.5,50.0
320,80.0,1875.0,-50.0
321,80.0,1875.0,-25.0
322,80.0,1875.0,0.0
323,80.0,1875.0,25.0
324,80.0,1875.0,50.0
330,80.0,2812.5,-50.0
331,80.0,2812.5,-25.0
332,80.0,2812.5,0.0
333,80.0,2812.5,25.0
334,80.0,2812.5,50.0
340,80.0,3750.0,-50.0
341,80.0,3750.0,-25.0
342,80.0,3750.0,0.0
343,80.0,3750.0,25.0
344,80.0,3750.0,50.0
350,80.0,4687.5,-50.0
351,80.0,4687.5,-25.0
352,80.0,4687.5,0.0
353,80.0,4687.5,25.0
354,80.0,4687.5,50.0
360,80.0,5625.0,-50.0
361,80.0,5625.0,-25.0
362,80.0,5625.0,0.0
363,80.0,5625.0,25.0
